,RUNDATE,FY,FM,DOCID,CHKSUBTOT,VCODE,VENDOR,ZIP5,FTYP,FUNDTYPE,DPT,DEPARTMENT,ACTV,ACTIVITY,OGRP,OBJECTGROUP,OBJ,OBJECT,COMM,COMMODITYDSCR,INVOICEDATE,INVOICENUMBER
30903,2023-12-18,2024,3,EFT-BMS-EY240025073,346739.98,VS0000016417,"Muniz Construction, Inc. ^",75253,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
31143,2023-12-19,2024,3,EFT-BMS-EY240025218,340011.41,020318,Texas Department Of Transportation,78714,GNFD,General Fund,TRN,Transportation,THRG,Participation With Other Government Agencies - Thoroughfares,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
31144,2023-12-19,2024,3,EFT-BMS-EY240025218,1200000.0,020318,Texas Department Of Transportation,78714,CVID,COVID-19,TRN,Transportation,INGV,Intergovernmental Partnership Projects,RC,Capital Outlay,4820,Signal System,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
31145,2023-12-19,2024,3,EFT-BMS-EY240025218,8400000.0,020318,Texas Department Of Transportation,78714,OTTR,Other Transportation Operation,TRN,Transportation,INGV,Intergovernmental Partnership Projects,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
31265,2023-12-19,2024,3,EFT-BMS-EY240025336,359745.94,339015,"Metro Fire Apparatus Specialists, Inc.",77080,GNFD,General Fund,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,QV,Contractual & Other Services,3110,Repair&Maint Serv Equip,6000.0,AUTOMOTIVE AND TRAILER MAINTENANCE ITEMS AND REPAIR/REPLACEM,,
31308,2023-12-19,2024,3,EFT-BMS-EY240025379,838671.67,970352,Sabine River Authority Of Tx,75472,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
31317,2023-12-19,2024,3,EFT-BMS-EY240025387,3837462.0,VC0000008212,Dallas Zoo Management Inc,75203,GNFD,General Fund,PKR,Park & Recreation,PK04,Fair Park Management And Promotion,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
31321,2023-12-19,2024,3,EFT-BMS-EY240025391,350000.0,VC0000012216,"Quadient, Inc.",06461,INSV,Internal Service Fund,POM,Purchasing/Bus. Diversity Dev,EX07,Business Services,QM,Supplies & Materials,2999,Cost Of Goods Sold,96357.0,"POSTAGE RELATED PURCHASES (INCL. POSTAGE STAMPS, PRE-SORT 1S",,
31400,2023-12-19,2024,3,EFT-BMS-EY240025466,1441580.67,VC24588,"Roeschco Construction, Llc",75033,AVIC,Aviation Capital Program,AVI,Aviation,AAIP,Airport Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
31632,2023-12-19,2024,3,EFT-BMS-EY240025697,379586.0,VC21437,Douglas Dailey Construction Llc,75125,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,,NONE,,
31656,2023-12-20,2024,3,AD-BMS-AY240006125,404085.82,VC22918,Dallas Convention Center Hotel Development Corporation,75202,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3019,Section 380 Grant Expense,,NONE,,
31908,2023-12-20,2024,3,EFT-BMS-EY240025932,752586.96,VC21437,Douglas Dailey Construction Llc,75125,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
31972,2023-12-20,2024,3,EFT-BMS-EY240026000,432019.69,VC28899,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
32123,2023-12-20,2024,3,EFT-BMS-EY240026152,565970.0,VS0000067075,Bridge Steps,75201,GNFD,General Fund,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
32215,2023-12-21,2024,3,AD-BMS-AY240006155,701482.5,001003,International Business Machines Corporation,92821,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3440,IT Cloud Services,20800.0,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),,
32286,2023-12-21,2024,3,EFT-BMS-EY240026282,954167.4,033581,"Motorola Solutions, Inc.",60693,CVID,COVID-19,DFD,Dallas Fire Department,DF05,Fire Prevention Education And Inspection,QM,Supplies & Materials,2760,Radio & Communication Eqp,72500.0,"RADIO COMMUNICATION, TELEPHONE, AND TELECOMMUNICATION EQUIPM",,
32512,2023-12-21,2024,3,EFT-BMS-EY240026505,830322.66,VC28897,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
32781,2023-12-22,2024,3,EFT-BMS-EY240026700,1877792.66,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
32782,2023-12-22,2024,3,EFT-BMS-EY240026701,615743.42,125824,Bar Constructors Inc ^,75146,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4330,Sewage Disposal Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
32895,2023-12-22,2024,3,EFT-BMS-EY240026806,1482078.58,507202,"Syb Construction Co., Inc. ^",75061,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
32954,2023-12-22,2024,3,EFT-BMS-EY240026866,452956.48,VC21437,Douglas Dailey Construction Llc,75125,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
33081,2023-12-22,2024,3,EFT-BMS-EY240026993,1492051.26,VS0000064407,"Archer Western Construction, Llc",75038,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4730,Inst Apparatus Major,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
33127,2023-12-22,2024,3,EFT-BMS-EY240027039,1645840.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,CVID,COVID-19,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4740,Motor Vehicles Cap,7003.0,AMBULANCES AND RESCUE VEHICLES,,
33194,2023-12-22,2024,3,EFT-BMS-EY240027096,556590.65,VS93045,"Johnson Bros. Corporation, A Southland Company",76262,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,SRSF,Street Resurfacing,QV,Contractual & Other Services,3072,Contractor Service Fees,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
33195,2023-12-22,2024,3,EFT-BMS-EY240027096,2322697.25,VS93045,"Johnson Bros. Corporation, A Southland Company",76262,GNFD,General Fund,PBW,Public Works & Transporation,PB51,Street Maintenance Contracts,QV,Contractual & Other Services,3072,Contractor Service Fees,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
33203,2023-12-22,2024,3,EFT-BMS-EY240027102,370056.79,VS97675,Ddm Construction Corporation,75001,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,SREC,Street Reconstruction,RC,Capital Outlay,4510,Strts Roadwys Hiwy Alleys,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
33763,2023-12-27,2024,3,EFT-BMS-EY240027523,358841.67,516612,Deloitte Consulting Llp,22209,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3441,IT Managed Services,91800.0,CONSULTING SERVICES,,
33868,2023-12-27,2024,3,EFT-BMS-EY240027626,541236.12,VS0000040276,"The Fain Group, Inc.",76106,FDGT,Federal Grant (non Consolidated Plan),PKR,Park & Recreation,HIBT,Hike And Bike Trails,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
33888,2023-12-27,2024,3,EFT-BMS-EY240027645,729677.36,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
33923,2023-12-27,2024,3,EFT-BMS-EY240027680,379480.46,VS90040,Genserve Llc,10087,EFOP,Enterprise Operating Fund,AVI,Aviation,AV22,ELECTRICAL,QV,Contractual & Other Services,3210,Repair&Maint Ser Bldg Etc,93639.0,"GENERATORS, PORTABLE AND STATIONARY, INCLUDING PARTS AND ACC",,
33940,2023-12-27,2024,3,EFT-BMS-EY240027696,1552712.48,VS96112,"Flatiron Constructors, Inc.",75038,AVRC,Aviation Capital Program.commercial paper,AVI,Aviation,AAIP,Airport Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
33941,2023-12-27,2024,3,EFT-BMS-EY240027697,790271.67,VS96112,"Flatiron Constructors, Inc.",75038,AVRC,Aviation Capital Program.commercial paper,AVI,Aviation,AAIP,Airport Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
33958,2023-12-27,2024,3,EFT-BMS-EY240027714,3220032.03,244607,Oscar Renda Contracting Inc,76262,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
33960,2023-12-27,2024,3,EFT-BMS-EY240027716,552633.27,244607,Oscar Renda Contracting Inc,76262,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
34056,2023-12-28,2024,3,AD-BMS-AY240006414,385796.67,268067,F & A Officer Usace,76102,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
34103,2023-12-28,2024,3,EFT-BMS-EY240027784,4600464.66,004204,"Texas Materials Group, Inc.",75062,OTGO,Other GO CIP - Non-Debt,PBW,Public Works & Transporation,PB51,Street Maintenance Contracts,QV,Contractual & Other Services,3072,Contractor Service Fees,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
34141,2023-12-28,2024,3,EFT-BMS-EY240027818,560530.0,518741,Houston Freightliner Inc.,77029,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,SS02,Residential Garbage Collection,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
34169,2023-12-28,2024,3,EFT-BMS-EY240027846,342756.17,VC24588,"Roeschco Construction, Llc",75033,BP12,2012 General Obligation Bond Program,PBW,Public Works & Transporation,HIBT,Hike And Bike Trails,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
34239,2023-12-28,2024,3,EFT-BMS-EY240027919,3127550.52,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,RWPT,Raw Water Pumping And Transmission,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
34475,2023-12-29,2024,3,EFT-BMS-EY240028088,1548090.82,356959,Eagle Contracting Llc,76244,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
34550,2023-12-29,2024,3,EFT-BMS-EY240028164,507423.66,VS0000078666,"Gadberry Construction Company, Inc.",75207,WTRC,Water Capital Program,DWU,Water Utilities,WCFA,Wholesale Customer Facilities (Funded By Customer Cities),RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
34551,2023-12-29,2024,3,EFT-BMS-EY240028164,717714.31,VS0000078666,"Gadberry Construction Company, Inc.",75207,SWRC,Sewer Capital Program,DWU,Water Utilities,RELP,Relocations In Advance Of Paving,RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
34617,2023-12-29,2024,3,EFT-BMS-EY240028211,319436.37,347200,"Freese And Nichols, Inc.",75204,EFOP,Enterprise Operating Fund,SAN,Sanitation Svcs,SS03,Landfill Management,QV,Contractual & Other Services,3072,Contractor Service Fees,92642.0,ENVIRONMENTAL SERVICES (NOT OTHERWISE CLASSIFIED),,
34777,2024-01-02,2024,4,EFT-BMS-EY240028308,433598.24,VC14110,Ragle Inc,76180,WTRC,Water Capital Program,DWU,Water Utilities,RELP,Relocations In Advance Of Paving,RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
34999,2024-01-03,2024,4,EFT-BMS-EY240028486,526779.11,345379,Omega Contracting Llc,75212,WTRC,Water Capital Program,DWU,Water Utilities,REEQ,Rehabilitation And Equipment,QV,Contractual & Other Services,3221,Water Relocation,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
35010,2024-01-03,2024,4,EFT-BMS-EY240028497,438651.57,507202,"Syb Construction Co., Inc. ^",75061,BP06,2006 General Obligation Bond Program,SDM,Stormwater Drainage Management,ERCT,Erosion Control,RC,Capital Outlay,4599,Other Improvements-other than Building,91345.0,"CONSTRUCTION, SEWER AND STORM DRAIN",,
35041,2024-01-03,2024,4,EFT-BMS-EY240028523,365019.63,VS0000051722,Gresham Smith,37230,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4111,Engineering Design,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
35046,2024-01-03,2024,4,EFT-BMS-EY240028528,1026388.28,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
35117,2024-01-03,2024,4,EFT-BMS-EY240028594,820521.11,125824,Bar Constructors Inc ^,75146,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,,NONE,,
35307,2024-01-04,2024,4,AD-BMS-AY240007221,577051.2,001003,International Business Machines Corporation,92821,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3440,IT Cloud Services,20800.0,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),,
35373,2024-01-04,2024,4,EFT-BMS-EY240028753,377880.51,VS0000036279,"Austin Filter Systems, Inc.",78641,OTGO,Other GO CIP - Non-Debt,SDM,Stormwater Drainage Management,SD01,Storm Water Drainage Management,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
35733,2024-01-05,2024,4,EFT-BMS-EY240029025,1457266.0,068563,Trinity River Authority Of Tx,76004,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW04,Wastewater Treatment,QV,Contractual & Other Services,3083,Ww Treatment- Tra,,NONE,,
35772,2024-01-05,2024,4,EFT-BMS-EY240029051,562372.0,502145,"Shi Government Solutions, Inc",78746,FDGT,Federal Grant (non Consolidated Plan),MGT,Management Services,TECH,Technology,QV,Contractual & Other Services,3099,Misc Special Services,3528.0,"CAMERAS AND ACCESSORIES, AERIAL PHOTOGRAPH",,
35870,2024-01-05,2024,4,EFT-BMS-EY240029128,5345970.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,OTDB,Other GO CIP  - Debt,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4730,Inst Apparatus Major,7003.0,AMBULANCES AND RESCUE VEHICLES,,
36243,2024-01-08,2024,4,EFT-BMS-EY240029404,476537.0,VS0000067075,Bridge Steps,75201,GNFD,General Fund,MGT,Management Services,EH54,Comprehensive Homeless Outreach,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
36254,2024-01-08,2024,4,EFT-BMS-EY240029413,324296.11,VS0000078666,"Gadberry Construction Company, Inc.",75207,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4599,Other Improvements-other than Building,,NONE,,
36881,2024-01-10,2024,4,EFT-BMS-EY240029871,341220.0,VC26628,R.D. Offutt Company,58102,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW20,Water's Price of Doing Business,RC,Capital Outlay,4890,Miscellaneous Equipment Cap,76044.0,"LOADERS, FRONT END (FOR CRAWLER TRACTORS)",,
36913,2024-01-10,2024,4,EFT-BMS-EY240029891,374555.0,VS0000040826,"Shawnee Mission Tree Service, Inc",76051,EFOP,Enterprise Operating Fund,SAN,Sanitation Svcs,SS04,Solid Waste Transfer Stations,QV,Contractual & Other Services,3072,Contractor Service Fees,98888.0,TREE TRIMMING AND PRUNING SERVICES,,
36932,2024-01-10,2024,4,EFT-BMS-EY240029901,482589.35,VS0000062836,Good Earth Corporation,75227,GNFD,General Fund,PBW,Public Works & Transporation,ST05,Streets/R-O-W Maintenance Contracts,QV,Contractual & Other Services,3070,Professional Services,98836.0,"GROUNDS MAINTENANCE: MOWING, EDGING, PLANT (NOT TREE) TRIMMI",,
37037,2024-01-11,2024,4,EFT-BMS-EY240029948,379818.09,507202,"Syb Construction Co., Inc. ^",75061,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4599,Other Improvements-other than Building,91345.0,"CONSTRUCTION, SEWER AND STORM DRAIN",,
37038,2024-01-11,2024,4,EFT-BMS-EY240029948,344156.5,507202,"Syb Construction Co., Inc. ^",75061,BP06,2006 General Obligation Bond Program,SDM,Stormwater Drainage Management,ERCT,Erosion Control,RC,Capital Outlay,4599,Other Improvements-other than Building,91345.0,"CONSTRUCTION, SEWER AND STORM DRAIN",,
37045,2024-01-11,2024,4,EFT-BMS-EY240029963,352964.25,VC21006,"Dallas Housing Foundation, Inc.",75226,BP17,2017 General Obligation Bond Program,HOU,Housing/Community Services,HO98,Residential Development Acq Loan Program,QV,Contractual & Other Services,3016,Economic Development Grant,92561.0,LAND DEVELOPMENT AND PLANNING/ENGINEERING,,
37048,2024-01-11,2024,4,EFT-BMS-EY240029966,4341100.0,VC22876,Kay Bailey Hutchison Convention Center,75202,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
37058,2024-01-11,2024,4,EFT-BMS-EY240029977,387397.61,VS0000036279,"Austin Filter Systems, Inc.",78641,OTGO,Other GO CIP - Non-Debt,SDM,Stormwater Drainage Management,ERCT,Erosion Control,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
37111,2024-01-11,2024,4,EFT-BMS-EY240030027,788215.44,VS90299,Southland Mole Jv,76262,BP12,2012 General Obligation Bond Program,TWM,Trinity Watershed Management,SDRS,Storm Drainage Relief System,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
37113,2024-01-11,2024,4,EFT-BMS-EY240030030,373709.14,VS0000074006,"Signature Automation, Llc",75252,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4111,Engineering Design,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
37182,2024-01-11,2024,4,EFT-BMS-EY240030074,466019.4,502145,"Shi Government Solutions, Inc",78746,CVID,COVID-19,DSV,Communication & Info Svcs,TFFN,TFFN,QV,Contractual & Other Services,3099,Misc Special Services,92045.0,SOFTWARE MAINTENANCE/SUPPORT,,
37183,2024-01-11,2024,4,EFT-BMS-EY240030074,432755.1,502145,"Shi Government Solutions, Inc",78746,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS20,Internal Desktop Support,QV,Contractual & Other Services,3438,Software Maint Fee,92045.0,SOFTWARE MAINTENANCE/SUPPORT,,
37194,2024-01-11,2024,4,EFT-BMS-EY240030083,1121060.0,518741,Houston Freightliner Inc.,77029,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,SS02,Residential Garbage Collection,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
37271,2024-01-11,2024,4,EFT-BMS-EY240030146,341220.0,VC26628,R.D. Offutt Company,58102,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW20,Water's Price of Doing Business,RC,Capital Outlay,4890,Miscellaneous Equipment Cap,76044.0,"LOADERS, FRONT END (FOR CRAWLER TRACTORS)",,
37351,2024-01-11,2024,4,EFT-BMS-EY240030198,396387.8,VS97685,"All City Management Services, Inc.",90084,GNFD,General Fund,MSH,City Marshal's Office,3065,Security Services,QV,Contractual & Other Services,3070,Professional Services,92471.0,SCHOOL OPERATION AND MANAGEMENT SERVICES,,
37577,2024-01-12,2024,4,EFT-BMS-EY240030328,1334030.45,519741,The Dallas Convention & Visitors Bureau,75201,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3320,Advertising,,NONE,,
37730,2024-01-16,2024,4,AD-BMS-AY240007667,332579.69,268653,At&T Corp,60197,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS05,Internal Voice And Data Communication Network,QV,Contractual & Other Services,3053,Data Circuit Billing,91577.0,"TELEPHONE SERVICES, LONG DISTANCE AND LOCAL (INCLUDING TELEX",,
37731,2024-01-16,2024,4,AD-BMS-AY240007667,544266.27,268653,At&T Corp,60197,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS05,Internal Voice And Data Communication Network,QV,Contractual & Other Services,3441,IT Managed Services,91800.0,CONSULTING SERVICES,,
37801,2024-01-16,2024,4,EFT-BMS-EY240030479,4352155.32,244607,Oscar Renda Contracting Inc,76262,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
37803,2024-01-16,2024,4,EFT-BMS-EY240030481,491975.0,082798,Casco Industries Inc,75050,GNFD,General Fund,INV,Inventory Purchase,INV1,Inventory,QM,Supplies & Materials,2998,Inventory Purchase,34574.0,PERSONAL PROTECTIVE EQUIPMENT FOR BLOODBORNE PATHOGENS,,
37845,2024-01-16,2024,4,EFT-BMS-EY240030512,346285.5,263234,"Gts Technology Solutions, Inc",75266,OTDB,Other GO CIP  - Debt,DSV,Communication & Info Svcs,TECH,Technology,QM,Supplies & Materials,2731,Data Processing Equipment,93921.0,"COMPUTERS, DATA PROCESSING EQUIPMENT AND ACCESSORIES (NOT WO",,
37856,2024-01-16,2024,4,EFT-BMS-EY240030520,9663726.26,352290,"U S Army Corps Of Engineers,",76102,BP98,1998 General Obligation Bond Program,DWU,Water Utilities,TRPP,USACE Partnership Funds,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
37875,2024-01-16,2024,4,EFT-BMS-EY240030535,838671.67,970352,Sabine River Authority Of Tx,75472,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
37911,2024-01-16,2024,4,EFT-BMS-EY240030564,878168.45,VC28897,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
37912,2024-01-16,2024,4,EFT-BMS-EY240030565,432019.69,VC28899,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
37982,2024-01-16,2024,4,EFT-BMS-EY240030608,360135.53,VS0000056543,Southland Contracting Inc.,76051,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,,NONE,,
37997,2024-01-17,2024,4,AD-BMS-AY240007724,336408.67,254643,Dallas County Health & Human,75207,CNPL,Consolidated Plan Funds,MGT,Management Services,EH20,Aids Services,QV,Contractual & Other Services,3070,Professional Services,95255.0,HOMELESSNESS PREVENTION SERVICES,,
38007,2024-01-17,2024,4,AD-BMS-AY240007735,662696.52,VC28385,Southwestern Bell Telephone Company,75202,OTHO,Other Operating Fund,DSV,Communication & Info Svcs,IS01,9-1-1 Technology/Education Services,QV,Contractual & Other Services,3050,Communications,91576.0,"TELEPHONE SERVICES INCLUDES INSTALLATION, MOVES, CHANGES, AD",,
38056,2024-01-17,2024,4,EFT-BMS-EY240030650,542447.5,VS0000016343,"Garver, Llc",75034,WTRC,Water Capital Program,DWU,Water Utilities,MJMR,Major Maintenance & Rehabilitation,RC,Capital Outlay,4111,Engineering Design,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
38176,2024-01-17,2024,4,EFT-BMS-EY240030741,611944.0,VC15306,"Workday,Inc.",75034,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3440,IT Cloud Services,95635.0,INTERNET DATABASE SUBSCRIPTIONS,,
38253,2024-01-17,2024,4,EFT-BMS-EY240030797,696523.73,VS0000040276,"The Fain Group, Inc.",76106,FDGT,Federal Grant (non Consolidated Plan),PKR,Park & Recreation,HIBT,Hike And Bike Trails,RC,Capital Outlay,4599,Other Improvements-other than Building,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
38272,2024-01-17,2024,4,EFT-BMS-EY240030814,673449.72,VS0000069669,"Imperial Construction, Inc.",76086,OTDB,Other GO CIP  - Debt,BSD,Building Services,FIRF,Fire Protection Facilities,RC,Capital Outlay,4310,Buildings,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
38377,2024-01-18,2024,4,EFT-BMS-EY240030855,1208346.51,VC22277,"Western Municipal Construction Of Texas, Llc",76247,CVID,COVID-19,DWU,Water Utilities,DW01,Water Treatment,RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
38389,2024-01-18,2024,4,EFT-BMS-EY240030865,1284224.95,VS0000064407,"Archer Western Construction, Llc",75038,WTRC,Water Capital Program,DWU,Water Utilities,RWPT,Raw Water Pumping And Transmission,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
